,Time,infragravity heights
163,2006-06-13,9.674927252462373
164,2006-06-14,9.38692739429999
165,2006-06-15,9.187569898143554
166,2006-06-16,11.38991771753294
167,2006-06-17,14.02500209074159
168,2006-06-18,23.130350328100693
169,2006-06-19,29.643045515159056
170,2006-06-20,24.834587433433278
171,2006-06-21,16.70563653837738
172,2006-06-22,12.053266192510286
173,2006-06-23,9.873720382186708
174,2006-06-24,8.827460849302105
175,2006-06-25,7.530399637744773
176,2006-06-26,7.2240339737380355
177,2006-06-27,6.978380373229295
178,2006-06-28,6.933635349759286
179,2006-06-29,6.991485231859524
180,2006-06-30,10.080068182253639
181,2006-07-01,10.193370856096537
182,2006-07-02,10.429794352716682
183,2006-07-03,8.686879511893892
184,2006-07-04,9.223662549369882
185,2006-07-05,9.920003448977218
186,2006-07-06,10.30087078920323
